m,M,epsilon_of_M,delta_of_M,correct_laplace,correct_gaussian,correct_exponential,correct_exponential_mechanism
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,0,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,0,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,0,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,0,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,0,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,0,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,0,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,0,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,0,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,0
0.0,0.0,0.5,9.432016056618942e-10,1,0,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
0.0,0.0,0.5,9.432016056618942e-10,1,1,1,1
